,item,tag,vec
0,0,"super",
1,0,"tnq",
2,0,"hey",
3,0,"hey there",
4,0,"hey there",
5,0,":)",
6,0,"ho",
7,0,"i am",
8,0,"yea",
9,0,"are you",
10,0,"yea",
11,0,"lok",
12,0,"man",
13,0,"youtube",
14,0,"\uD83D\uDE02",
15,0,"to",
16,0,"\uD83D\uDE0D",
17,0,"yea",
18,0,":)",
19,0,"fa",
20,0,"be",
21,0,"yea",
22,0,"what",
23,0,"yea",
24,0,"yea",
25,0,"\uD83D\uDE02",
26,0,"i am",
27,0,"yea",
28,0,"yea",
29,0,"yeah",
30,0,"haha",
31,0,"wtf",
32,0,"pri",
33,0,"idk",
34,0,"ah",
35,0,"hmm",
36,0,"oh",
37,0,"oh",
38,0,"nice",
39,0,"kn",
40,0,"ah",
41,0,"he",
42,0,"so",
43,0,"yea",
44,0,"lol",
45,0,"im",
46,0,"you",
47,0,"the",
48,0,"lol",
49,0,"lol",
50,0,"wha",
51,0,"is",
52,0,"you",
53,0,"yea",
54,0,"jamie",
55,0,"now",
56,0,"fyn",
57,1,"fyn",
58,0,"to",
59,0,"to",
60,0,"to",
61,0,"to",
62,0,"you",
63,0,"eve",
64,0,"eve",
65,0,"po",
66,0,"ok",
67,0,"\uD83D\uDE10",
68,0,"bu",
69,0,"i mean",
70,0,"oo",
71,0,"why",
72,0,"why?",
73,0,"nice",
74,0,"you",
75,0,"dead",
76,0,"dead",
77,0,"\uD83D\uDE02",
78,0,"me",
79,0,"\uD83D\uDE18\uD83D\uDE18",
80,0,"and",
81,0,"what",
82,0,"so",
83,0,"hmm",
84,0,"hmm",
85,0,"are you",
86,0,"sorry",
87,0,"like",
88,0,"mean",
89,0,"am",
90,0,"the",
91,0,"it",
92,0,"\uD83D\uDE02\uD83D\uDE02",
93,0,"yeah",
94,0,"sam",
95,0,"sam",
96,0,"hey love",
97,0,"ok",
98,0,"\uD83D\uDE02",
99,0,"\uD83D\uDE02",
100,0,"you ok",
101,0,"ok",
102,0,"no",
103,0,"no way",
104,0,"\uD83D\uDE48",
105,0,"\uD83D\uDE48",
106,0,"yeah",
107,0,"why",
108,0,"same",
109,0,"lol",
110,0,"really",
111,0,"okay",
112,0,"on way",
113,0,"oh",
114,0,"oh",
115,0,"oh wow",
116,0,"pa",
117,0,"true",
118,0,"that",
119,0,"okay",
120,0,"so",
121,0,"ok",
122,0,"okay",
123,0,"ok",
124,0,"na so",
125,0,"si",
126,0,"true",
127,0,"help",
128,0,"help",
129,0,"help",
130,0,"do",
131,0,"how",
132,0,"see",
133,0,"are",
134,0,"\uD83D\uDE18\uD83D\uDE18",
135,0,"\uD83D\uDE01",
136,0,"ik",
137,0,"what",
138,0,"sp",
139,0,"lil",
